arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,53,-3.794413892290854,300,0.9488681554794312,0.896712601184845,0,-3.794413892290854,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,54,1.6315683867930195,52,0.9535477757453918,0.949999988079071,1,1.6315683867930195,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,55,-4.120495191392169,300,0.8647417426109314,0.262719988822937,0,-4.120495191392169,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,56,-4.062442946347786,300,0.8548793792724609,0.3205227255821228,0,-4.062442946347786,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,57,-4.099187066280123,300,0.8535622358322144,0.3205227255821228,0,-4.099187066280123,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,58,-3.703157950414954,300,0.9517592191696167,0.9118073582649231,0,-3.703157950414954,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,59,-4.104798869160012,300,0.86039799451828,0.262719988822937,0,-4.104798869160012,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,60,-1.7822213358765606,216,0.9584294557571411,0.949999988079071,1,-1.7822213358765606,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,61,-4.180051984754375,300,0.8226146101951599,0.20000000298023224,0,-4.180051984754375,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,62,-0.28858191822533447,148,0.9562700986862183,0.949999988079071,1,-0.28858191822533447,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,63,-2.7633143383775653,256,0.959682047367096,0.949999988079071,1,-2.7633143383775653,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,64,0.7042825838950215,93,0.9558350443840027,0.949999988079071,1,0.7042825838950215,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,65,1.1541679430811183,75,0.958131730556488,0.949999988079071,1,1.1541679430811183,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,66,0.18477780872150987,124,0.9632374048233032,0.949999988079071,1,0.18477780872150987,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,67,-3.9557487991369125,300,0.8724522590637207,0.3620483875274658,0,-3.9557487991369125,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,68,-4.015228478859884,300,0.8553919792175293,0.2922111749649048,0,-4.015228478859884,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,69,2.113698409245,29,0.9513947367668152,0.949999988079071,1,2.113698409245,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,70,-3.5686552426064626,300,0.9505900144577026,0.9277771711349487,0,-3.5686552426064626,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,71,2.3434348037517627,19,0.9508571624755859,0.949999988079071,1,2.3434348037517627,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,72,2.2209714314643056,29,0.951604425907135,0.949999988079071,1,2.2209714314643056,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,73,-3.521602089417127,300,0.9443308711051941,0.8994263410568237,0,-3.521602089417127,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,74,-4.100133730775255,300,0.8509951233863831,0.3205227255821228,0,-4.100133730775255,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
