episode,reward,steps,mastery
141,0.9974238149785379,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
142,1.104990781225206,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
143,0.9676252169498186,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
144,4.401132172303915,95,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
145,0.9364146045016243,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
146,0.9959156408178389,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
147,0.9752263715345182,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
148,1.0843518791385578,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
149,0.9289449367661291,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
150,1.1215354482363182,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
151,0.856760041762027,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
152,1.1176924255036285,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
153,0.9783955417340623,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
154,4.542020279761346,105,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
155,4.336763354609138,179,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
156,4.073977831413504,164,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
157,3.955467495664925,139,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
158,4.098752753855661,87,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
159,1.0159432654880223,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
160,4.064557465937105,82,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
161,4.189742618199671,196,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
162,4.022308565175626,124,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
163,3.9577999561675825,262,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
164,1.028458183455041,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
165,4.124177678817068,288,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
166,0.9700621590807714,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
167,0.8861597806069768,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
168,3.947205227561062,166,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
169,4.014882004548781,282,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
170,3.972820400374803,140,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
171,4.088292191516667,72,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
172,4.130274047327111,106,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
173,4.039535397094733,56,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
174,4.0407420667310365,56,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
175,4.0578915793943455,54,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
176,1.0281807519219002,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
177,1.1071614210115515,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
178,4.018101496296003,98,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
179,4.011606845587084,241,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
180,4.172098477572581,269,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
181,1.167639487708948,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
182,1.2450321916199756,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
