PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9924    0.001    0.000    0.001    0.000 _ops.py:997(name)
     8897    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     4802    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:893(__enter__)
     4410    0.001    0.000    0.002    0.000 inspect.py:191(isclass)
       26    0.001    0.000    0.014    0.001 inspect.py:1101(getblock)
     1384    0.001    0.000    0.006    0.000 package_importer.py:726(_patched_getfile)
      126    0.001    0.000    0.002    0.000 utils.py:86(is_functional)
    10208    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      936    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      275    0.001    0.000    0.004    0.000 _compile.py:27(_disable_dynamo)
     1847    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:391(cached)
     6729    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1183    0.001    0.000    0.009    0.000 typing.py:947(__init__)
     4092    0.001    0.000    0.002    0.000 inspect.py:820(<genexpr>)
      969    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:71(__init__)
      788    0.001    0.000    0.003    0.000 dataclasses.py:663(_is_type)
      141    0.001    0.000    0.353    0.003 inspect.py:932(findsource)
      113    0.001    0.000    0.484    0.004 custom_ops.py:598(_register_to_dispatcher)
     1199    0.001    0.000    0.020    0.000 ntpath.py:563(abspath)
      799    0.001    0.000    0.003    0.000 typing.py:253(_deduplicate)
      127    0.001    0.000    0.034    0.000 library.py:95(__init__)
      969    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      685    0.001    0.000    0.002    0.000 _ops.py:1258(overloads)
      420    0.001    0.000    0.035    0.000 linecache.py:52(checkcache)
      233    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     3917    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     1426    0.001    0.000    0.001    0.000 dataclasses.py:817(_set_qualname)
      135    0.001    0.000    0.013    0.000 <frozen zipimport>:64(__init__)
     3159    0.001    0.000    0.002    0.000 inspect.py:2969(<genexpr>)
     1366    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      816    0.001    0.000    0.006    0.000 _pytree.py:1264(tree_flatten)
     2875    0.001    0.000    0.003    0.000 typing.py:137(_type_convert)
     1274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      113    0.001    0.000    0.004    0.000 utils.py:293(has_kwarg_only_tensors)
     2419    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
